Hex,Genotype,Numeric,Binary,R,Y,W,S,Color
00,rryyWWss,0 - 0 - 0 - 0,00 - 00 - 00 - 00,00,00,00,00,White
01,rryyWWSs,0 - 0 - 0 - 1,00 - 00 - 00 - 01,00,00,00,01,White
03,rryyWWSS,0 - 0 - 0 - 2,00 - 00 - 00 - 11,00,00,00,11,White
04,rryyWwss,0 - 0 - 1 - 0,00 - 00 - 01 - 00,00,00,01,00,White (seed)
05,rryyWwSs,0 - 0 - 1 - 1,00 - 00 - 01 - 01,00,00,01,01,White
07,rryyWwSS,0 - 0 - 1 - 2,00 - 00 - 01 - 11,00,00,01,11,White
0c,rryywwss,0 - 0 - 2 - 0,00 - 00 - 11 - 00,00,00,11,00,Purple
0d,rryywwSs,0 - 0 - 2 - 1,00 - 00 - 11 - 01,00,00,11,01,Purple
0f,rryywwSS,0 - 0 - 2 - 2,00 - 00 - 11 - 11,00,00,11,11,Purple
10,rrYyWWss,0 - 1 - 0 - 0,00 - 01 - 00 - 00,00,01,00,00,Yellow
11,rrYyWWSs,0 - 1 - 0 - 1,00 - 01 - 00 - 01,00,01,00,01,Yellow
13,rrYyWWSS,0 - 1 - 0 - 2,00 - 01 - 00 - 11,00,01,00,11,Yellow
14,rrYyWwss,0 - 1 - 1 - 0,00 - 01 - 01 - 00,00,01,01,00,White
15,rrYyWwSs,0 - 1 - 1 - 1,00 - 01 - 01 - 01,00,01,01,01,White
17,rrYyWwSS,0 - 1 - 1 - 2,00 - 01 - 01 - 11,00,01,01,11,White
1c,rrYywwss,0 - 1 - 2 - 0,00 - 01 - 11 - 00,00,01,11,00,Purple
1d,rrYywwSs,0 - 1 - 2 - 1,00 - 01 - 11 - 01,00,01,11,01,Purple
1f,rrYywwSS,0 - 1 - 2 - 2,00 - 01 - 11 - 11,00,01,11,11,Purple
30,rrYYWWss,0 - 2 - 0 - 0,00 - 11 - 00 - 00,00,11,00,00,Yellow (seed)
31,rrYYWWSs,0 - 2 - 0 - 1,00 - 11 - 00 - 01,00,11,00,01,Yellow
33,rrYYWWSS,0 - 2 - 0 - 2,00 - 11 - 00 - 11,00,11,00,11,Yellow
34,rrYYWwss,0 - 2 - 1 - 0,00 - 11 - 01 - 00,00,11,01,00,Yellow
35,rrYYWwSs,0 - 2 - 1 - 1,00 - 11 - 01 - 01,00,11,01,01,Yellow
37,rrYYWwSS,0 - 2 - 1 - 2,00 - 11 - 01 - 11,00,11,01,11,Yellow
3c,rrYYwwss,0 - 2 - 2 - 0,00 - 11 - 11 - 00,00,11,11,00,White
3d,rrYYwwSs,0 - 2 - 2 - 1,00 - 11 - 11 - 01,00,11,11,01,White
3f,rrYYwwSS,0 - 2 - 2 - 2,00 - 11 - 11 - 11,00,11,11,11,White
40,RryyWWss,1 - 0 - 0 - 0,01 - 00 - 00 - 00,01,00,00,00,Red
41,RryyWWSs,1 - 0 - 0 - 1,01 - 00 - 00 - 01,01,00,00,01,Pink
43,RryyWWSS,1 - 0 - 0 - 2,01 - 00 - 00 - 11,01,00,00,11,White
44,RryyWwss,1 - 0 - 1 - 0,01 - 00 - 01 - 00,01,00,01,00,Red
45,RryyWwSs,1 - 0 - 1 - 1,01 - 00 - 01 - 01,01,00,01,01,Pink
47,RryyWwSS,1 - 0 - 1 - 2,01 - 00 - 01 - 11,01,00,01,11,White
4c,Rryywwss,1 - 0 - 2 - 0,01 - 00 - 11 - 00,01,00,11,00,Red
4d,RryywwSs,1 - 0 - 2 - 1,01 - 00 - 11 - 01,01,00,11,01,Pink
4f,RryywwSS,1 - 0 - 2 - 2,01 - 00 - 11 - 11,01,00,11,11,Purple
50,RrYyWWss,1 - 1 - 0 - 0,01 - 01 - 00 - 00,01,01,00,00,Orange
51,RrYyWWSs,1 - 1 - 0 - 1,01 - 01 - 00 - 01,01,01,00,01,Yellow
53,RrYyWWSS,1 - 1 - 0 - 2,01 - 01 - 00 - 11,01,01,00,11,Yellow
